data;trasa;kto
20.05.2011;EPWA-EPGD-EPWA;pdt
23.05.2011;EPWA-EPGD-EBBR-EPWA;pdt
28-30.05.2011;EPWA-EPGD-EPWA;pdt
01.06.2011;EPWA-InoEPWR-EPWA;pdt
02.06.2011;EPAW-Włocławek-EPWA;pdt
03.06.2011;EPWA-LFPG-EPWA;pdt
09.06.2011;EPWA-EPGD;pdt
13.06.2011;EPGD-EPWA;pdt
13.06.2011;EPGD-EPWA;pdt
14.06.2011;EPWA-Mielnik-EPWA;pdt
15.06.2011;EPWA-Bielsk Podl-EPWA;pdt
16.06.2011;EPWA-LZIB-EPWA;pdt
18.06.2011;EPWA-EPGD;pdt
20.06.2011;EPGD-EPWA;pdt
23-24.06.2011;EPWA-EBBR-EPWA;pdt
25-27.06.2011;EPWA-EPGD-EPWA;pdt
02-03.07.2011;EPWA-EPGD-EPWA;pdt
05-06.07.2011;EPWA-SXB-EPWA;pdt
08-11.07.2011;EPWA-EPGD-EPWA;pdt
14.07.2011;EPWA-Stębark-EPWA;pdt
15.07.2011;EPWA-LKPR-EPWA;pdt
16.07.2011;EPKK-Nowy Targ-CISNA-EPRZ;pdt
16.07.2011;EPWA-EPKK;pdt
17.07.2011;EPRZ-EPGD;pdt
22.07.2011;EPWA-EPBK-EPWA;pdt
22.07.2011;EPWA-EPGD;pdt
23.07.2011;EPGD-Siemirowice-EPGD;pdt
25.07.2011;EPGD-EPWA;pdt
30.07.2011;EPWA-EPKK-EPGD;pdt
30.07.2011;EPKK-Łososina-EPKK;pdt
05.08.2011;EPWA-EPGD;pdt
12.08.2011;EPWA-Baby-EPWA;pdt
13.08.2011;EPWA-EPGD;pdt
15.08.2011;EPGD-EPWA;pdt
20.08.2011;EPWA-EPGD;pdt
27.08.2011;EPWA-EPWR-EPGD;pdt
29.08.2011;EPGD-EPWA;pdt
30.08.2011;EPWA-EBBR-EPWA;pdt
31.08.2011;EPWA-EPGD;pdt
01-02.09.2011;EPWA-EPGD-LFPG-EPWA;pdt
02.09.2011;EPWA-EPGD;pdt
04.09.2011;EPGD--LCJ;pdt
07.09.2011;EPWA-Tarnów-Nowy Sącz-EPWA;pdt
08.09.2011;EPWA-EPWR-EPWA;pdt
10.09.2011;EPWA-EPGD;pdt
12.09.2011;EPWA-EPGD-EBBR-EPWA;pdt
14.09.2011;EPKT-Cieszyn-EPKT;pdt
14.09.2011;EPWA-EPKT-EPWA;pdt
15.09.2011;EPWA-EPRZ-EPWA;pdt
16-17.09.2011;EPWA-EPGD-Ryga-ZagEPRZb-EPWA;pdt
17-18.09.2011;EPWA-EPGD-EPWA;pdt
23.09.2011;EPSC-EPWA;pdt
28-29.09.2011;EPWA-EPGD-EPWA;pdt
30.09.2011;EPWA-EPGD-EPWA;pdt
01.10.2011;EPGD-EPWA;pdt
03.10.2011;EPKT-EPWA;pdt
07-08.10.2011;EPWA-EPGD-EPWA;pdt
14.10.2011;EPWA-LKPR-EPWA-EPGD;pdt
20.10.2011;EPWA-EBBR-EPWA;pdt
21.10.2011;EPWA-EPGD;pdt
22-23.10.2011;EPWA-EPGD-EBBR-EPGD-EPWA;pdt
24.10.2011;EPGD-EPWA;pdt
26.10.2011;EPWA-EBBR-EPWA;pdt
28.10.2011;EPWA-EPGD;pdt
29.10.2011;EPWA-PMO;pdt
04.11.2011;EPWA-EPGD;pdt
07.11.2011;EPGD-EPWA;pdt
11.11.2011;LCJ-EPGD;pdt
12.11.2011;EPGD-EPWA-EPGD;pdt
14.11.2011;EPGD-EPWA;pdt
19.11.2011;EPWA-EPGD;pdt
25.11.2011;EPWA-EPGD;pdt
02.12.2011;EPWA-EPGD;pdt
05.12.2011;EPGD-EPWA;pdt
08-09.12.2011;EPWA-MRS-EBBR-EPWA;pdt
13-14.12.2011;EPWA-SXB-EPWA;pdt
16.12.2011;EPWA-EPGD;pdt
19.12.2011;EPGD-EPWA;pdt
21.12.2011;EPWA-EPKT-EPWA;pdt
23.12.2011;EPWA-EPGD;pdt
27.12.2011;EPGD-EPWA;pdt
30.12.2011;EPWA-EPGD;pdt
02.01.2012;EPGD-EPWA;pdt
05.01.2012;EPWA-EPGD;pdt
11-12.01.2012;EPWA-VRN-EPWA-CPH-EPWA-VRN-EPWA;pdt
16.01.2012;EPGD-EPWA;pdt
18-19.01.2012;EPWA-Rzym-EPWA;pdt
20.01.2012;EPWA-EPGD;pdt
23.01.2012;EPGD-EPWA;pdt
27.01.2012;EPWA-EPGD;pdt
29.01.2012;EPGD-EPWA;pdt
29-31.01.2012;EPWA-EBBR-EPWA;pdt
03.02.2012;EPWA-EPGD;pdt
06.02.2012;EPGD-EPWA;pdt
09.02.2012;EPWA-EPKK-EPWA;pdt
10.02.2012;EPWA-EPGD;pdt
13.02.2012;EPGD-EPWA;pdt
17.02.2012;EPWA-EPGD;pdt
19.02.2012;EPGD-EPWA;pdt
01-02.03.2012;EPWA-EBBR-EPWA;pdt
03-04.03.2012;EPWA-EPGD-EPKT-EPGD-EPWA;pdt
17.05.2012;EPWA-EPPO;pdt
17-18.04.2012;EPWA-LCA-EPWA;pdt
21-24.04.2012;EPWA-LCA-Dubaj-AUH-RUH-LCA-EPWA;pdt
19.05.2012;EPWR-EPWA-EPGD-EPWA;pdt
23-24.05.2012;EPWA-EBBR-EPWA;pdt
28-29.05.2012;EPWA-Rzym-EPWA;pdt
30-31.05.2012;EPWA-RLG-EDDT-EPWA;pdt
01.06.2012;EPWA-OTP-EPWA;pdt
11.06.2012;EPGD-EPWA;pdt
16.06.2012;EPWA-EPWR-EPGD-EPWA;pdt
18.06.2012;EPGD-EPWA;pdt
22.06.2012;EPWA-LKPR-EPKT-EPGD-EPWA;pdt
28-29.06.2012;EPWA-EBBR-EPWA;pdt
01-02.07.2012;EPWA-KBP-EPWA;pdt
02.07.2012;EPGD-EPWA;pdt
06-07.07.2012;EPWA-EPGD-DBV-EPGD-EPWA;pdt
14.07.2012;EPWA-Lubliniec-EPWA;pdt
30.07.2012;EPGD-EPWA;pdt
04-05.08.2012;EPWA-ZHR-EPWA;pdt
31.08.2012;EPWA-EPGD;pdt
02.09.2012;EPGD-EPWA-EPGD;pdt
03.09.2012;EPGD-EPWA;pdt
24.09.2012;EPGD-EPWA;pdt
26.09.2012;EPSZ-Ziemsko-EPSZ;pdt
26.09.2012;EPWA-EPSC-EPWA;pdt
01.10.2012;EPWA-EPGD-EPKK-EPWA;pdt
10.10.2012;EPWA-HEL-EPWA;pdt
15.10.2012;EPGD-EPWA;pdt
17-18.10.2012;EPWA-OTP-EPWA;pdt
18-19.10.2012;EPWA-EBBR-EPWA;pdt
21-22.10.2012;EPWA-EPGD-EPWA;pdt
25.10.2012;EPWA-EPRZ;pdt
26.10.2012;Turbia-EPWA;pdt
29.10.2012;EPWA-EPGD-EPKT-EPWA;pdt
02.11.2012;EPGD-EPWA;pdt
07.11.2012;CPH-EPWA;pdt
10.11.2012;EPWA-EPRZ-EPWA;pdt
13.11.2012;EPWA-EBBR-EPWA;pdt
14.11.2012;EPWA-EDDT;pdt
14-15.11.2012;EDDT-EBBR-EPWA;pdt
19.11.2012;EPGD-EPWA;pdt
22-23.11.2012;EPWA-EBBR-EPWA-EPGD;pdt
26.11.2012;EPWA-EPGD-EPWR-EPWA;pdt
29.11.2012;EPWA-EPWR-EPWA;pdt
10.12.2012;EPGD-OSL-EPWA;pdt
13-14.12.2012;EPWA-EBBR-EPWA;pdt
28.01.2013;EPWA-LFPG-EPWA;pdt
06-07.02.2013;EPWA-Luksemburg-EBBR;pdt
08.02.2013;EBBR-EPWA;pdt
04-05.03.2013;EPWA-HAJ-EPWA;pdt
11.03.2013;EPWA-EPGD-Talli-EPWA;pdt
14-15.03.2013;EPWA-EBBR-EPWA;pdt
27.03.2013;EPWA-Poprad-EPWA;pdt
07.04.2013;EPGD-EPWA;pdt
09-10.04.2013;EPWA-Moskwa-EPWA;pdt
17.04.2013;EPWA-Londyn-EPWA;pdt
21-22.04.2013;EPWA-EPGD-EDDT-EPWA;pdt
22.05.2013;EPWA-EBBR-EPWA;pdt
07-08.06.2013;EPWA-Lizbona-EPGD-EPWA;pdt
03.06.2013;EPWA-EPGD-LCJ-EPWA;pdt
10.06.2013;EPWA-EPGD-Belgrad-EPWA;pdt
27-28.06.2013;EPWA-EPWR-EBBR-EPKT-EPWA;pdt
30.06-01.07.2013;EPWA-ZagEPRZb-EPWA;pdt
03.07.2013;EPWA-EDDT-EPWA;pdt
14-15.07.2013;EPWA-EPGD-Madryt-EPWA;pdt
29.07.2013;EPWA-EPZG-EPWA;pdt
02.08.2013;Mińsk Maz.-Wadowice-EPWA;pdt
29.08.2013;EPWA-Busko Zdrój-EPWA;pdt
03.09.2013;EPWA-Krynica-EPWA;pdt
10.09.2013;EPKT-EPWA;pdt
16.09.2013;EPWA-EPGD-EPKT-EPWA;pdt
25.09.2013;EPWA-EPGD-EPWA;pdt
30.09.2013;EPGD-LCJ-EPWA;pdt
03.10.2013;EPWA-EPKK-EPWA;pdt
03.10.2013;EPKK-Lubliniec-EPKK;pdt
14.10.2013;EPWA-EPGD-LHBP-EPWA;pdt
24-25.10.2013;EPWA-EBBR-EPWA;pdt
31.10.2013;EPWA-EPGD-EPWA;pdt
11-12.11.2013;EPWA-LFPG-EPWA;pdt
26.11.2013;EPWA-OTP-EPWA;pdt
29.11.2013;EPWA-EPKK-EPWA;pdt
01.12.2013;EPGD-EPWA;pdt
04.12.2013;EPKT-EPWA;pdt
09.12.2013;EPWA-EPGD-EPPO-EPWA;pdt
19-20.12.2013;EPWA-EBBR-EPWA;pdt
22.12.2013;EPWA-EPKK-EPGD-EPWA;pdt
28.12.2013;EPWA-EPKK-EPGD;pdt
29-30.01.2014;EPWA-LHBP-EBBR-LFPG-EPWA;pdt
31.01.2014;EPWA-EDDT-Oxfordshire-EPWA;pdt
03.02.2014;EPWA-EPGD-TLL-Sztokholm-HEL-EPWA;pdt
06.02.2014;EPWA-KIV-EPWA;pdt
14-16.02.2014;EPWA-EPWR-EPKK-EPWA;pdt
15-16.02.2014;Opole-Zakopane-EPKK;pdt
21.02.2014;EPWA-EPRZ-EPWA;pdt
06-07.03.2014;EPWA-EBBR-DUB-EPGD-EPWA;pdt
08.03.2014;EPGD-EPKK-EPGD-EPWA;pdt
10.03.2014;EPGD-EPWA;pdt
20-21.03.2014;EPWA-EBBR-EPWA;pdt
26.03.2014;EPWA-EPGD-EPWA;pdt
28.03.2014;EPWA-KIV-EPWA;pdt
29.03.2014;EPWA-EPKT-EPWA;pdt
30.03.2014;EPWA-EPRZ-EPWA;pdt
02.04.2014;EPWA-EBBR-EPWA;pdt
06.04.2014;EPGD-Bartoszyce-EPGD;pdt
09.04.2014;EPWA-EPKK-EPWA;pdt
10.04.2014;EPWA-EPGD-EPWA;pdt
11.04.2014;EPWA-EPKK-EPGD-EPWA;pdt
14.04.2014;EPWA-Łask-EPWA;pdt
17.04.2014;EPWA-EPKT-EPWA;pdt
23-24.04.2014;EPWA-EBBR-LFPG-EPWA;pdt
25.04.2014;EPWA-EPPO-EDDT-EPGD-EPWA;pdt
26-27.04.2014;EPWA-Rzym-EPWA;pdt
29-30.04.2014;EPWA-MAD-EPWA;pdt
05-07.05.2014;EPWA-EPKT-EPWA;pdt
15.05.2014;EPWA-LZIB-EPKK-EPWA;pdt
16.05.2014;EPWA-EPRZ-EPWA;pdt
16-19.05.2014;EPWA-Neapol-Rzym-EPWA;pdt
21.05.2014;EPWA-EBBR-EPWA;pdt
22-23.05.2014;EPWA-EPSC-EPZG-EPWR-EPKT-EPGD-EPWA;pdt
27-28.05.2014;EPWA-EBBR-EPSC;pdt
28.05.2014;EPSC-EPWA;pdt
29.05.2014;EPWA-EPWR-EPWA;pdt
05.06.2014;EPWA-EPKT-EPWR-EPWA;pdt
23.06.2014;EPWA-EPGD-EPWA;pdt
24.06.2014;EPWA-LHBP-EPWA;pdt
26-27.06.2014;EPWA-Kortrijk-EBBR-EPWA;pdt
09-10.07.2014;EPWA-EDDT-EPWA;pdt
16-17.07.2014;EPWA-EBBR-EPWA;pdt
30-31.08.2014;EPWA-EBBR-EPGD-EPWA;pdt
01.09.2014;EPGD-EPWA;pdt
01.09.2014;Ostrowiec Św-EPWA;pdt
05.09.2014;EPWA-EPKT-EPWA;pdt
06.10.2014;EPWA-EBBR-EPWA;pek
07.10.2014;EPWA-EPKT-EPWA;pek
09-10.10.2014;EPWA-EDDT-LFPG-EPWA;pek
16-17.10.2014;EPWA-Mediolan-EPWA;pek
23-24.10.2014;EPWA-EBBR-EPWA;pek
30.10.2014;EPWA-EPZG-EPWR-EPWA;pek
03.11.2014;EPWA-EPWR-EPKT-EPWA;pek
20.11.2014;EPWA-EPWR-EPWA;pek
02.12.2014;EPWA-LKPR-EPWA;pek
04.12.2014;EPWA-EPKT;pek
04.12.2014;EPKT-EPWA;pek
09.12.2014;EPWA-LZIB-EPWA/EPKK;pek
18-19.12.2014;EPWA-EBBR-EPWA;pek
11.01.2015;EPWA-LFPG-EPWA;pek
12-13.01.2015;EPWA-EPKT-EPWA;pek
17.01.2015;EPKT-EPWA;pek
19.01.2015;EPWA-Kijów-EPWA;pek
29-30.01.2015;EPWA-LFPG-EPWA;pek
12-13.02.2015;EPWA-EBBR-EPWA;pek
16.02.2015;EPWA-LUZ-EPWA;pek
05.03.2015;EPWA-EPPO-EPWA;pek
19-20.03.2015;EPWA-EBBR-EPWA;pek
10.04.2015;EPWA-EPGD;pek
17-20.04.2015;EPWA-Bolonia-LKPR-EPWA;pek
23.04.2015;EPWA-EBBR-EPWA;pek
29.04.2015;EPWA-EPKK-EPWA;pek
08.05.2015;EPGD-EPWA;pek
13.05.2015;EPWA-EPGD-EPWA;pek
18.05.2015;EPWR-Bogatynia-EPWR;pek
18.05.2015;EPWA-EPWR-EPWA;pek
21.05.2015;EPWA-EPKT-RIX-EPWA;pek
11.06.2015;EPWA-EBBR-EPWA;pek
11-12.06.2015;EPWA-Rzym-EPWA;pek
19.06.2015;EPWA-LZIB-EPWA;pek
25-26.06.2015;EPWA-EBBR-EPWA;pek
03.07.2015;EPWA-EPKT-EPWA;pek
15-16.07.2015;EPWA-MAD-EPWA;pek
24.08.2015;EPWA-Warka-EPWA;pek
03.09.2015;EPWA-EPKT-EPWA;pek
04.09.2015;EPWA-EPGD-LKPR-EPWA;pek
09-10.09.2015;EPWA-EPKK-EPWA;pek
17.09.2015;EPWA-Kijów-EPWA;pek
23-24.09.2015;EPWA-EBBR-EPWA;pek
25.09.2015;EPWA-EPGD-EPWA;pek
07-08.10.2015;EPWA-GLS-EPWA;pek
15.10.2015;EPWA-EBBR-EPWA;pek
23.10.2015;EPWA-EPKA-EPWA;pek
14-15.12.2017;EPWA-EBBR-EPWA;pmm
16-17.12.2017;EPWA-EPGD-EPSC-EPWA;pmm
18.12.2017;EPWA-EPKK-EPWA;pmm
21.12.2017;EPWA-EPKT-EPWA;pmm
22-23.12.2017;EPWA-EPWR-EPWA;pmm
03.01.2018;EPWA-LHBP-EPWA;pmm
09-10.01.2018;EPWA-EBBR-EPWA;pmm
23-26.01.2018;EPWA-LSZH-LHBP-EPWR-EPWA;pmm
26.01.2018;EPWR-EPWA;pmm
27.01.2018;EPWA-EPKK-EPWA;pmm
02.02.2018;EPWA-EPRZ-EPWA;pmm
09.02.2018;EPWA-SZY-EPWA;pmm
11.02.2018;EPWA-LUZ-EPWA;pmm
12-13.02.2018;EPWA-BEY-EPWA;pmm
16.02.2018;EPWA-TXL-EPWA;pmm
17.02.2018;EPWA-MUC-EPWR-EPWA;pmm
18.02.2018;EPWA-EPKK-EPWA;pmm
22-23.02.2018;EPWA-EBBR-EPWA;pmm
27.02.2018;EPWA-EPPO-EPWA;pmm
08-09.03.2018;EPWA-EBBR-VNO-EPWA;pmm
14.03.2018;EPWA-EPWR-EPWA;pmm
18.03.2018;EPWA-EPKT-EPWA;pmm
21.03.2018;EPWA-EPRZ-EPWA;pmm
22-23.03.2018;EPWA-EBBR-EPWA;pmm
29.03.2018;EPWA-SZY-EPWA;pmm
30.03.2018;EPWA-EPWR-EPWA;pmm
06.04.2018;EPWA-LHBP-EPWA;pmm
15.04.2018;EPWA-EPKK-EPWA;pmm
18.04.2018;EPWA-EPWR-EPKK-EPWA;pmm
28.04.2018;EPWA-EPZG-EPOK-EPWA;pmm
02.05.2018;EPWA-EPRZ-EPWA;pmm
03.05.2018;EPWA-EPOK;pmm
05.05.2018;EPWA-EPKT-EPWA;pmm
05.05.2018;EPOK-EPWA;pmm
15.05.2018;EPWA-EPKT-EPWA;pmm
16-17.05.2018;EPWA-SOF-EPWA;pmm
20.05.2018;EPWA-EPGD-EPWA;pmm
23.05.2018;EPWA-EPWR-EPWA;pmm
26.05.2018;LUZ-EPWR;pmm
30.05.2018;EPWA-EPRZ-EPWA;pmm
02.06.2018;EPWA-EPSC-EPWR-EPWA;pmm
03.06.2018;EPWA-PLQ-TLL-EPWA;pmm
04.06.2018;EPWA-CIA-EPWA;pmm
09.06.2018;EPWA-EPWR-EPWA;pmm
13.06.2018;EPWA-EPKK-EPWA;pmm
16.06.2018;EPWA-EPSC-WMI;pmm
18.06.2018;EPWA-EPKK-EPWA;pmm
19.06.2018;EPWA-TXL-EPWA;pmm
21.06.2018;EPWA-LHBP-EPWA;pmm
22.06.2018;EPWA-EPWR-EPWA;pmm
25.06.2018;EPWA-EPOK-EPRA;pmm
28-29.06.2018;EPWA-EBBR-EPWA;pmm
30.06.2018;EPWA-EPBY-EPRZ-EPWA;pmm
03-04.07.2018;EPWA-SXB-EPWA;pmm
06.07.2018;EPWA-KLV-EPWA;pmm
06.07.2018;EPWA-EPGD;pmm
08.07.2018;EPGD-EPKT;pmm
09.07.2018;EPWR-EPWA;pmm
10.07.2018;EPWA-LTN-EPWA;pmm
13.07.2018;EPWA-SZY-EPWA;pmm
15.07.2018;EPOK-LUZ-EPOK;pmm
16.07.2018;EPOK-EPWA;pmm
18.07.2018;EPBY-EPKK-EPWA;pmm
23.07.2018;EPOK-EPWA;pmm
27.07.2018;EPWA-EPPO;pmm
31.07.2018;EPWA-EPZG-EPWA;pmm
04.08.2018;EPGD-EPKK-EPGD;pmm
06.08.2018;EPOK-EPSC-EPKK-EPOK;pmm
10.08.2018;EPGD-EPWA-EPGD;pmm
15.08.2018;EPWA-RIX-EPWA;pmm
15.08.2018;EPGD-EPWA-EPGD;pmm
17.08.2018;EPOK-EPWA-EPOK;pmm
19.08.2018;EPOK-EPWA-EPKK-EPWA;pmm
23.08.2018;EPWA-EPBY;pmm
27.08.2018;EPGD-EPWA;pmm
29.08.2018;EPWA-EPSC-EPWA;pmm
31.08.2018;EPWA-EPGD;pmm
01.09.2018;EPGD-EPWA;pmm
03.09.2018;EPWA-EPKT-EPWA;pmm
05-06.09.2018;EPWA-EPKK-EPKT-EPWA;pmm
08.09.2018;EPWA-EPWR;pmm
08.09.2018;EPWR-Kłodzko (JW.)-EPWR;pmm
13.09.2018;EPWA-EPPO;pmm
14.09.2018;EPPO-EPKK-EPWA;pmm
15.09.2018;EPWA-EPZG;pmm
16.09.2018;EPSC-EPWA;pmm
17.09.2018;EPWA-EPSC-EPWA;pmm
18.09.2018;EPWA-OTP-EPKK-EPWA;pmm
18.09.2018;EPKK-EPWA;pmm
19-20.09.2018;EPKT-LNZ-EPWA;pmm
19.09.2018;EPWA-EPKT;pmm
21.09.2018;EPWA-Ostróda-EPWA;pmm
23.09.2018;EPWA-EPLU;pmm
27.09.2018;EPWA-EPKA-EPWA;pmm
28.09.2018;EPWA-EPPO-EPWA;pmm
30.09.2018;EPWR-EPBY;pmm
01.10.2018;EPWA-LUZ;pmm
01.10.2018;LUZ-EPWA;pmm
03-05.10.2018;EPWA-KTEB-EPWA;pmm
05.10.2018;EPWA-EPBK-EPWA;pmm
06.10.2018;EPWA-LUZ;pmm
07.10.2018;EPWA-EPRZ-EPWA;pmm
09.10.2018;EPWA-EPKK-EPWA;pmm
10.10.2018;EPWA-EPBK;pmm
12.10.2018;EPWA-EPPO;pmm
12.10.2018;EPPO-EPRU;pmm
14.10.2018;EPWA-EPKT-EPKK-EPWA;pmm
17-19.10.2018;EPWA-EBBR-WMI;pmm
20.10.2018;EPWA-EPWR-EPWA;pmm
25.10.2018;EPWA-EPKK-EPWA;pmm
27.10.2018;EPWA-LKPR-LUZ-EPWA;pmm
29.10.2018;EPWA-EPKK-EPWA;pmm
30.10.2018;EPWA-EPBY;pmm
31.10.2018;EPWA-EPKK-EPKT-EPWA;pmm
12.11.2018;EPKT-EPWA;pmm
13.11.2018;EPKK-EPCE-EPWA;pmm
13.11.2018;EPWA-EPKT;pmm
14.11.2018;EPWA-EPGD-EPWA;pmm
15.11.2018;EPWA-LKPR-EPWA;pmm
16.11.2018;EPWA-EPRZ-EPWA;pmm
17.11.2018;EPWA-HAM-EPWA;pmm
18.11.2018;EPWA-EPKK-EPWA;pmm
25.11.2018;EPWR-EBBR-EPWA;pmm
29.11.2018;EPWA-LZIB-EPWA;pmm
30.11.2018;EPWA-EPKT-EPWA;pmm
03-04.12.2018;EPWA-EPKT-EPWA;pmm
13-14.12.2018;EPWA-EBBR-EPWA;pmm
16.12.2018;EPWA-EPKT-EPWA;pmm
17.12.2018;EPWA-EPCE;pmm
17-18.12.2018;EPGD-VIE-EPKK-EPWA;pmm
18.12.2018;EPKK-EPWA;pmm
20.12.2018;EPWA-EGSS-EPWA;pmm
21.12.2018;EPWA-EPWR-EPWA;pmm
21.12.2018;EPWA-EPKT-EPWA;pmm
27.12.2018;EPWA-EPPO-EPWA;pmm
18.01.2019;EPWA-EPWR-EPKK-EPWA;pmm
19.01.2019;EPWA-EPGD-EPWA;pmm
20.01.2019;EPWA-EPKK-EPWA;pmm
23-24.01.2019;EPWA-LSZH-EPWA;pmm
25.01.2019;EPWA-EPRZ-EPWA;pmm
27.01.2019;EPWA-EPKK-EPWA;pmm
30-31.01.2019;EPWA-EPWR-EPWA;pmm
07.02.2019;EPWA-LZIB-EPWA;pmm
09.02.2019;EPWA-EPRZ-EPWA;pmm
09.02.2019;EPRZ-Huwniki-EPRZ;pmm
18.02.2019;EPKK-EPWA;pmm
24-25.02.2019;EPWA-HESH-EPWA;pmm
28.02.2019;EPWA-Gołdap-EPSY-EPWA;pmm
02.03.2019;EPWA-EPRZ-EPWA;pmm
03.03.2019;EPWA-EPKT-EPWA;pmm
09.03.2019;EPWA-EPRZ-EPWA;pmm
15.03.2019;EPWA-LHBP-EPWA;pmm
16.03.2019;EPWA-EPKT-EPWA;pmm
18.03.2019;EPWA-EPKK-EPWA;pmm
21-22.03.2019;EPWA-EBBR-EPWR-EPWA;pmm
23.03.2019;EPWR-EPWA;pmm
30.03.2019;EPWA-EPGD-EPWA;pmm
05.04.2019;EPWA-SQQ-PLQ-EPWA;pmm
10-11.04.2019;EPWA-EBBR-EPWA;pmm
12.04.2019;EPWA-DBV-EPWA;pmm
14-15.04.2019;EPWA-EBBR-EPWA;pmm
16-18.04.2019;EPWA-KMDW-KTEB-EPKK;pmm
18.04.2019;EPKK-EPWA;pmm
24-25.04.2019;EPWA-LZIB-EPWA;pmm
24.04.2019;EPWA-EPSC-EPWA;pmm
26.04.2019;EPWA-LUZ-EPWA;pmm
27.04.2019;EPWA-EPPO-EPWA;pmm
02.05.2019;EPWA-EPSC-EPWA;pmm
05.05.2019;EPWA-Nadroże-EPWA;pmm
09.05.2019;EPWA-SBZ-EPWA;pmm
11-12.05.2019;EPWA-EPBY-EPWA-EPSC-LCJ;pmm
16.05.2019;EPWA-EBBR-EPWA;pmm
18.05.2019;EPWA-EPKT;pmm
20.05.2019;EPWA-EPZG-EPWA;pmm
24.05.2019;EPRZ-EPWA;pmm
28-29.05.2019;EPWA-EBBR-EPWA;pmm
31.05.2019;EPWA-EPKK-EPWA;pmm
05.06.2019;EPWA-SOU-EPWA;pmm
12.06.2019;EPWA-EPWR-EPWA;pmm
13.06.2019;EPWA-LHBP-EPWA;pmm
18.06.2019;EPKK-EPWA;pmm
18.06.2019;EPWA-EPKK;pmm
19.06.2019;EPWA-LUZ-EPWA;pmm
20-21.06.2019;EPWA-EBBR-EPWA;pmm
24.06.2019;EPGD-DRS-EPWA;pmm
24.06.2019;EPWA-EPOK;pmm
27.06.2019;EPWA-EPSC-EPWA;pmm
28.06.2019;EPWA-EPWR;pmm
28.06.2019;EPWR-LKPR-EPWA;pmm
29.06.2019;EPWA-EPBY-EPWA;pmm
30.06.2019;EPWA-LUZ-EPWA;pmm
30.06-02.07.2019;EPWA-EBBR-EPWA;pmm
05.07.2019;EPWA-EPPO-EPKT-EPWA;pmm
07.07.2019;EPKT-EPGD;pmm
08.07.2019;EPWA-EPKK-EPWA;pmm
08.07.2019;EPGD-EPWA;pmm
12.07.2019;EPWA-EPOK;pmm
14-15.07.2019;EPOK-EPKT-EPOK-EPWA;pmm
18.07.2019;EPWA-EPKK-EPWA;pmm
19.07.2019;EPWA-EPOK;pmm
21.07.2019;EPOK-EPKT;pmm
26.07.2019;EPWR-EPWC-EPWR;pmm
26.07.2019;EPWA-EPOK;pmm
26.07.2019;EPWA-EPWR-EPWA;pmm
29.07.2019;EPOK-EPWA;pmm
02.08.2019;EPWA-EPKT;pmm
04-05.08.2019;EPWA-EPKT-EPWA;pmm
